match_id,date,season,tournament_name,is_worldcup,match_stage,team1,team2,venue,city,toss_winner,toss_decision,winner,result_type,format,innings1_team,innings1_runs,innings1_wkts,innings1_overs,innings2_team,innings2_runs,innings2_wkts,innings2_overs,year,month,batting_first,chasing_team,first_innings_score,second_innings_score,match_result,elo_team1,elo_team2,elo_diff,team1_form_5,team2_form_5,team1_form_10,team2_form_10,h2h_win_pct
-543291658,2025-05-09,2025,Japan Twenty20 Tri-Series,False,,Cook Islands,Thailand,Sano International Cricket Ground,Sano,Thailand,field,Thailand,unknown,T20,Cook Islands,72,10,19.7,Thailand,76.0,2.0,15.0,2025,5,Cook Islands,Thailand,72,76.0,completed,1489.8042232563541,1576.4337044928518,-86.62948123649767,0.4,0.6,0.6,0.3,1.0
-900352448,2025-05-09,2025,Japan Twenty20 Tri-Series,False,,Japan,Cook Islands,Sano International Cricket Ground,Sano,Cook Islands,field,Japan,unknown,T20,Japan,105,10,20.2,Cook Islands,71.0,10.0,18.8,2025,5,Japan,Cook Islands,105,71.0,completed,1620.1832564975894,1477.7129890326707,142.4702674649186,0.8,0.4,0.9,0.6,1.0
-242628240,2025-05-09,2025,ICC Women's T20 World Cup Asia Region Qualifier,True,,Malaysia,United Arab Emirates,"Asian Institute of Technology Ground, Bangkok",Bangkok,United Arab Emirates,field,United Arab Emirates,unknown,T20,Malaysia,30,8,7.2,United Arab Emirates,33.0,1.0,4.8,2025,5,Malaysia,United Arab Emirates,30,33.0,completed,1521.414107734605,1727.0559598918348,-205.64185215722978,0.7,0.6,0.55,0.8,0.0
7340256877,2025-05-10,2025,Germany Women tour of Greece,False,,Germany,Greece,"Marina Ground, Corfu",Corfu,Greece,field,Germany,unknown,T20,Germany,166,8,24.3,Greece,61.0,10.0,20.3,2025,5,Germany,Greece,166,61.0,completed,1493.9514603390303,1401.2618707306726,92.68958960835766,0.0,0.2,0.4,0.2,0.5
6700222358,2025-05-10,2025,ICC Women's T20 World Cup Asia Region Qualifier,True,,United Arab Emirates,Qatar,"Terdthai Cricket Ground, Bangkok",Bangkok,United Arab Emirates,bat,United Arab Emirates,unknown,T20,United Arab Emirates,192,10,16.8,Qatar,29.0,10.0,11.3,2025,5,United Arab Emirates,Qatar,192,29.0,completed,1734.555962411657,1463.079307088861,271.476655322796,0.8,0.2,0.8,0.2,1.0
3993297438,2025-05-10,2025,ICC Women's T20 World Cup Asia Region Qualifier,True,,Bahrain,Nepal,"Terdthai Cricket Ground, Bangkok",Bangkok,Nepal,field,Nepal,unknown,T20,Bahrain,41,1,5.0,Nepal,42.0,1.0,5.0,2025,5,Bahrain,Nepal,41,42.0,completed,1532.7961376215235,1541.2464638118277,-8.450326190304168,0.3,0.7,0.6,0.45,0.0
-642616697,2025-05-11,2025,Japan Twenty20 Tri-Series,False,Final,Japan,Thailand,Sano International Cricket Ground,Sano,Japan,bat,Thailand,unknown,T20,Japan,106,8,20.7,Thailand,109.0,4.0,20.0,2025,5,Japan,Thailand,106,109.0,completed,1629.9668460051219,1588.5249387165352,41.44190728858666,0.8,0.6,0.9,0.5,1.0
-329073938,2025-05-11,2025,Germany Women tour of Greece,False,,Germany,Greece,"Marina Ground, Corfu",Corfu,Germany,bat,Germany,unknown,T20,Germany,177,5,23.0,Greece,88.0,4.0,24.0,2025,5,Germany,Greece,177,88.0,completed,1505.7814119137388,1389.4319191559641,116.34949275777467,0.2,0.2,0.4,0.2,1.0
-417364285,2025-05-11,2025,Germany Women tour of Greece,False,,Greece,Germany,"Marina Ground, Corfu",Corfu,Greece,bat,Germany,unknown,T20,Greece,77,8,23.3,Germany,78.0,0.0,10.8,2025,5,Greece,Germany,77,78.0,completed,1378.5983113883367,1516.6150196813662,-138.01670829302952,0.2,0.2,0.2,0.4,0.0
-881005136,2025-05-12,2025,ICC Women's T20 World Cup Asia Region Qualifier,True,,Bahrain,Hong Kong,"Terdthai Cricket Ground, Bangkok",Bangkok,Bahrain,bat,,no result,T20,Bahrain,15,0,4.2,,,,,2025,5,Bahrain,Hong Kong,15,0.0,no result,1517.1852128065243,1558.0304842465498,-40.8452714400255,0.2,0.5,0.5,0.5,0.6
